word,song,original_deets,kb_deets,original,kb
man,24k magic,Bruno Mars,2016,"Ooh shit, I'm a dangerous man with some money in my pocket","Ooh yeah, I'm a dangerous one with some money in my pocket"
man,24k magic,Bruno Mars,2016,I'm a dangerous man with some money in my pocket,I'm a dangerous one with some money in my pocket
pimp,24k magic,Bruno Mars,2016,I gotta show 'em how a pimp get it in,*cuts verse*
shit,24k magic,Bruno Mars,2016,"Ooh shit, I'm a dangerous man with some money in my pocket","Ooh yeah, I'm a dangerous one with some money in my pocket"
shit,24k magic,Bruno Mars,2016,"Spend your money like money ain't shit (Whoop, whoop)",*cuts verse*
sip,24k magic,Bruno Mars,2016,"First, take your sip (sip), do your dip (dip)",*cuts verse*
grind,finesse,Bruno Mars,2018,Cause I love the way it feels when we grind,Cause I love the way we dance all the time (all the time)
shit,finesse,Bruno Mars,2018,Shut that shit down on sight,Shut the thing down on sight
sex,locked out of heaven,Bruno Mars,2013,Cause your sex takes me to paradise,Cause your love takes me to paradise
sex,locked out of heaven,Bruno Mars,2013,"Yeah, your sex takes me to paradise",Your love takes me to paradise
ass,that's what i like,Bruno Mars,2017,You and your ass invited,You and your friends invited
champagne,that's what i like,Bruno Mars,2017,Strawberry champagne on ice,Strawberry milkshakes so nice
freak,that's what i like,Bruno Mars,2017,You can be my freaka (Brrrt!),You can come and see though
ice,that's what i like,Bruno Mars,2017,Strawberry champagne on ice,Strawberry milkshakes so nice
sex,that's what i like,Bruno Mars,2017,Sex by the fire at night,Hang by the fire at night
freak,the lazy song,Bruno Mars,2011,Cause in my castle I'm the freaking man,Cause in my castle I'm the only man
god,the lazy song,Bruno Mars,2011,"(Oh my god, this is great)",(OMG you're so great)
sex,the lazy song,Bruno Mars,2011,"Meet a really nice girl, have some really nice sex","Meet a really nice girl, send a really nice text"
fuck,treasure,Bruno Mars,2014,"Baby squirrel, you's a sexy mother-fucker",*cuts verse*
sex,treasure,Bruno Mars,2014,"Baby squirrel, you's a sexy mother-fucker",*cuts verse*
sex,treasure,Bruno Mars,2014,"You're wonderful, flawless, ooh you're a sexy lady",You're wonderful thoughtless i knew you'd drive me crazy (drive me crazy)
bed,feels,Calvin Harris,2017,"In the same bed, but it still feel long distance",*cuts verse*
cut,feels,Calvin Harris,2017,I cut off all my exes for your x and o's,*cuts verse*
god,feels,Calvin Harris,2017,"Goddamn, I know you love to make an entrance",*cuts verse*
pills,feels,Calvin Harris,2017,I know you ain't afraid to pop pills (Hey),I know you ain't afraid to like this (Hey)
high,i need your love,Calvin Harris,2014,"I feel so high, I come alive","I feel so good, I come alive"
skin,one kiss,Calvin Harris & Dua Lipa,2018,I just wanna feel your skin on mine,See your eyes glued like the morning
pills,giant,Calvin Harris & Rag’n’Bone Man,2019,I saw the pills on the table for your unrequited love,"I saw it on, on the table for your unrequited love"
damn,havana,Camila Cabello,2018,"Fresh out East Atlanta with no manners, damn (Fresh out East Atlanta)",*cuts verse*
bang,i like it,"Cardi B, Bad Bunny & J Balvin",2018,"This is the new religion bang in Latino gang, gang, ¡yeh!",*cuts verse*
bitch,i like it,"Cardi B, Bad Bunny & J Balvin",2018,Where's my pen? Bitch I'm signin' (Signin'),"Where's my pen? Yeah, I'm signin' (What?)"
bitch,i like it,"Cardi B, Bad Bunny & J Balvin",2018,Flexing on bitches as hard as I can,Flexing on songs as hard as I can
bitch,i like it,"Cardi B, Bad Bunny & J Balvin",2018,Told that bitch I'm sorry though (Sorry though),Told that kid I'm sorry though (Sorry though)
bitch,i like it,"Cardi B, Bad Bunny & J Balvin",2018,Bad bitch make you nervous (I said I like it),Kidz Bop makes it perfect (I said I like it)
blow,i like it,"Cardi B, Bad Bunny & J Balvin",2018,"Drop the top and blow the brains, woo (Woo, I said I like it like that)","Drop the top, wind in our hair (I said I like it like that)"
body,i like it,"Cardi B, Bad Bunny & J Balvin",2018,"They call me Cardi Bardi, banging body","They call us Kidz Bop, banging party"
club,i like it,"Cardi B, Bad Bunny & J Balvin",2018,I spend in the club what you have in the bank (¡Wuh; ¡yeh!),*cuts verse*
diablo,i like it,"Cardi B, Bad Bunny & J Balvin",2018,"El Diablo me llama, pero Jesucristo me abraza (Amén)",*cuts verse*
gang,i like it,"Cardi B, Bad Bunny & J Balvin",2018,"Certified, you know I'm gang, gang, gang, gang (I said I like it like—woo)","Certified, you know I'm that, that, that, that (I said I like it like-, woo)"
gang,i like it,"Cardi B, Bad Bunny & J Balvin",2018,"This is the new religion bang in Latino gang, gang, ¡yeh!",*cuts verse*
gang,i like it,"Cardi B, Bad Bunny & J Balvin",2018,"Certified, you know I'm gang, gang, gang, gang (I said I like it like—woo)","Certified, you know I'm that, that, that, that (I said I like it like-, woo)"
hookah,i like it,"Cardi B, Bad Bunny & J Balvin",2018,"Y arranca pa'l carajo, cabrón, que a ti no te vo'a pasar la hookah (Hookah, hookah)",*cuts verse*
nigga,i like it,"Cardi B, Bad Bunny & J Balvin",2018,I like proving niggas wrong,I like proving others wrong
shit,i like it,"Cardi B, Bad Bunny & J Balvin",2018,I run this shit like cardio,"I run this song like cardio, yeah"
skin,call me maybe,Carly Rae Jepsen,2012,"Ripped jeans, skin was showin'","Ripped jeans, smile was showin'"
club,evacuate the dance floor,Cascada,2010,"Come on and evacuate, feel the club is heating up",*cuts verse*
club,evacuate the dance floor,Cascada,2010,That got everybody in the club goin' mad?,*cuts verse*
intoxicate,evacuate the dance floor,Cascada,2010,"Watch me, I'm intoxicated, take in the show (Ah-ah)","Watch me I'm infatuated, taking the show"
kill,evacuate the dance floor,Cascada,2010,"Oh, oh, stop, this beat is killing me","Oh, oh, stop, this beat is moving me"
overdose,evacuate the dance floor,Cascada,2010,"Wrap it up, you can't stop 'cause it feels like an overdose","Wrap it up, can't stop cause it feels like it's really close"
overdose,evacuate the dance floor,Cascada,2010,"(Feels like an overdose, like an overdose)",(Feels like it's really close)
dress,attention,Charlie Puth,2017,"I know that dress is karma, perfume regret","I know that dress is karma, filled with regret"
drunk,how long,Charlie Puth,2018,"I was drunk, I was gone, that don't make it right, but","I was lost, I was gone, that don't make it right, but"
dress,we don't talk anymore,Charlie Puth,2017,What kind of dress you're wearing tonight,"Girl, look you're wearing tonight"
overdose,we don't talk anymore,Charlie Puth,2017,I overdosed,I overlooked
cuttin,no promises,Cheat Codes,2018,"Cutting me up like a knife and I feel it, deep in my bones","Cut me right up in my love and I feel it, deep in my bones"
knife,no promises,Cheat Codes,2018,"Cutting me up like a knife and I feel it, deep in my bones","Cut me right up in my love and I feel it, deep in my bones"
high,forever,Chris Brown,2009,"It's a long way down, we so high off the ground",*cuts verse*
sex,what a girl wants,Christina Aguilera,2001,"Sexy, cool, like you",*cuts verse*
man,you make me feel...,Cobra Starship,2012,"Well, then I'm your man",Then grab my hand
pray,damaged,Danity Kane,2008,"(That makes you pray, makes you cry)",*cuts verse*
dead,it's not over,Daughtry,2007,Cause a part of me is dead and in the ground,Cause a part of me is standing on the ground
kill,it's not over,Daughtry,2007,"This love is killing me, but you're the only one",This love is hurting me but you are the only one
bitch,hey mama,David Guetta,2015,"None of them bitches ain't taking you, just tell them to make a U",*cuts verse*
dick,hey mama,David Guetta,2015,"Whole crew got the juice, yo' dick game the truth",*cuts verse*
freak,hey mama,David Guetta,2015,"Keep him pleased, rub him down, be a lady and a freak, oh",*cuts verse*
fuck,hey mama,David Guetta,2015,"It ain't nothin' new, I been fuckin' with you",*cuts verse*
juice,hey mama,David Guetta,2015,"Whole crew got the juice, yo' dick game the truth",*cuts verse*
man,hey mama,David Guetta,2015,"Be my woman, girl, I'll be your man","Be my only girl I'll, be your one"
woman,hey mama,David Guetta,2015,"Be my woman, girl, I'll be your man","Be my only girl I'll, be your one"
woman,hey mama,David Guetta,2015,"Yes, I'll be your woman, yes, I'll be your baby","Be my only girl I'll, be your one"
sleep,without you,David Guetta,2012,I can't take one more sleepless night,I can't take one more lonely day
kiss,hide away,Daya,2016,Boys seem to like the girls who like to kiss and tell,Boys seem to like the girls who answer on their cell
undress,hide away,Daya,2016,The ones who get undressed before the second date,The ones who get impressed before the second date
bitch,confident,Demi Lovato,2016,"Bitch, I run this show",Yeah I run this show
freak,confident,Demi Lovato,2016,"I used to hold my freak back, now I'm letting go","I used to hold myself back, now I'm letting go"
bitch,sorry not sorry,Demi Lovato,2017,Payback is a bad bitch,Payback's gonna happen
bitch,sorry not sorry,Demi Lovato,2017,"Now, payback is a bad bitch","Now, paybacks I'm havin'"
bitch,sorry not sorry,Demi Lovato,2017,Payback is a bad bitch,Payback's gonna happen
fuck,sorry not sorry,Demi Lovato,2017,You fuckin' with a savage,You dealin' with a savage
booty,survivor,Destiny’s Child,2002,I will survive being bootylicious,*cuts verse*
sex,survivor,Destiny’s Child,2002,I will survive being sexy,*cuts verse*
